id,vote_average,vote_count,popularity,release_date,original_language
19995,7.2,11800,150.437577,2009-12-10,en
285,6.9,4500,139.082615,2007-05-19,en
206647,6.3,4466,107.376788,2015-10-26,en
49026,7.6,9106,112.31295,2012-07-16,en
49529,6.1,2124,43.926995,2012-03-07,en
559,5.9,3576,115.699814,2007-05-01,en
38757,7.4,3330,48.681969,2010-11-24,en
99861,7.3,6767,134.279229,2015-04-22,en
767,7.4,5293,98.885637,2009-07-07,en
209112,5.7,7004,155.790452,2016-03-23,en
1452,5.4,1400,57.925623,2006-06-28,en
10764,6.1,2965,107.928811,2008-10-30,en
58,7.0,5246,145.847379,2006-06-20,en
57201,5.9,2311,49.046956,2013-07-03,en
49521,6.5,6359,99.398009,2013-06-12,en
2454,6.3,1630,53.978602,2008-05-15,en
24428,7.4,11776,144.448633,2012-04-25,en
1865,6.4,4948,135.413856,2011-05-14,en
41154,6.2,4160,52.035179,2012-05-23,en
122917,7.1,4760,120.965743,2014-12-10,en
1930,6.5,6586,89.866276,2012-06-27,en
20662,6.2,1398,37.668301,2010-05-12,en
57158,7.6,4524,94.370564,2013-12-11,en
2268,5.8,1303,42.990906,2007-12-04,en
254,6.6,2337,61.22601,2005-12-14,en
597,7.5,7562,100.025899,1997-11-18,en
271110,7.1,7241,198.372395,2016-04-27,en
44833,5.5,2114,64.928382,2012-04-11,en
135397,6.5,8662,418.708552,2015-06-09,en
37724,6.9,7604,93.004993,2012-10-25,en
558,6.7,4321,35.149586,2004-06-25,en
68721,6.8,8806,77.68208,2013-04-18,en
12155,6.4,4645,78.530105,2010-03-03,en
36668,6.3,3525,3.857526,2006-05-24,en
62211,7.0,3528,89.186492,2013-06-20,en
8373,6.0,3138,21.939663,2009-06-19,en
91314,5.8,3095,116.840296,2014-06-25,en
68728,5.7,3530,46.985445,2013-03-07,en
102382,6.5,4179,89.270217,2014-04-16,en
20526,6.3,2841,73.79505,2010-12-10,en
49013,5.8,2033,49.98659,2011-06-11,en
44912,5.1,2487,51.872839,2011-06-16,en
10193,7.6,4597,59.995418,2010-06-16,en
534,5.9,2463,71.862892,2009-05-20,en
168259,7.3,4176,102.322217,2015-04-01,en
72190,6.7,5560,81.834855,2013-06-20,en
127585,7.5,6032,118.078691,2014-05-15,en
54138,7.4,4418,78.291018,2013-05-05,en
81005,5.5,2598,43.349855,2013-02-27,en
64682,7.3,3769,61.196071,2013-05-10,en
9543,6.2,2317,62.169881,2010-05-19,en
68726,6.7,4794,56.523205,2013-07-11,en
38356,6.1,3299,28.529607,2011-06-28,en
217,5.7,2495,75.674458,2008-05-21,en
105864,6.6,1736,51.692953,2015-11-14,en
62177,6.7,4641,125.114374,2012-06-21,en
188927,6.6,2568,65.352913,2016-07-07,en
10681,7.8,6296,66.390712,2008-06-22,en
5174,6.1,783,22.57178,2007-08-08,en
14161,5.6,4903,45.274225,2009-10-10,en
17979,6.6,1095,39.744242,2009-11-04,en
76757,5.2,2768,85.36908,2015-02-04,en
258489,5.5,2430,42.741719,2016-06-29,en
411,6.7,2629,67.391328,2005-12-07,en
246655,6.4,4721,139.272042,2016-05-18,en
155,8.2,12002,187.322927,2008-07-16,en
14160,7.7,6870,92.201962,2009-05-13,en
15512,6.0,1423,36.167578,2009-03-19,en
1726,7.4,8776,120.725053,2008-04-30,en
44826,7.0,2141,32.319043,2011-11-22,en
8487,5.1,1020,40.748915,1999-06-29,en
1735,5.2,1387,60.034162,2008-07-01,en
297761,5.9,7458,90.23792,2016-08-02,en
2698,5.3,1151,27.082182,2007-06-09,en
137113,7.6,4858,79.456485,2014-05-27,en
9804,5.9,992,44.640292,1995-07-28,en
14869,5.6,1962,32.852443,2009-08-04,en
150540,8.0,6560,128.655964,2015-06-09,en
278927,6.7,2892,94.199316,2016-04-07,en
10138,6.6,6849,77.300194,2010-04-28,en
58595,5.8,3118,77.178973,2012-05-30,en
102651,7.0,4496,110.620647,2014-05-28,en
119450,7.3,4410,243.791743,2014-06-26,en
79698,4.8,34,2.418535,2015-02-13,en
64686,5.9,1326,41.796339,2013-12-06,en
100402,7.6,5764,72.225265,2014-03-20,en
10192,6.0,1959,44.041186,2010-05-16,en
158852,6.2,2846,130.311355,2015-05-19,en
177572,7.8,6135,203.73459,2014-10-24,en
82690,7.1,4570,62.341073,2012-11-01,en
5255,6.4,1474,47.323228,2004-11-10,en
47933,4.9,2491,48.775723,2016-06-22,en
10191,7.5,4227,67.263269,2010-03-05,en
296,5.9,2143,69.405188,2003-07-02,en
118340,7.9,9742,481.098624,2014-07-30,en
157336,8.1,10867,724.247784,2014-11-05,en
27205,8.1,13752,167.58371,2010-07-14,en
315011,6.5,143,9.476999,2016-07-29,ja
49051,7.0,8297,108.849621,2012-11-26,en
9799,6.6,3428,6.909942,2001-06-22,en
4922,7.3,3292,60.269279,2008-11-24,en
49538,7.1,5181,3.195174,2011-05-24,en
131634,6.6,3984,127.284427,2015-11-18,en
27022,5.8,1470,35.580815,2010-07-13,en
503,5.5,583,21.133748,2006-05-12,en
241259,6.5,1725,56.268916,2016-05-25,en
810,6.0,2278,42.986467,2007-05-17,en
68735,6.3,2268,63.148529,2016-05-25,en
87101,5.8,3631,202.042635,2015-06-23,en
10140,6.2,1514,49.661984,2010-08-13,en
676,6.6,1791,34.20669,2001-05-21,en
1858,6.6,4040,25.468493,2007-06-27,en
1966,5.6,927,39.019229,2004-11-21,en
675,7.4,5494,78.144395,2007-06-28,en
674,7.5,5608,101.250416,2005-11-05,en
8960,6.2,2961,56.758411,2008-07-01,en
6479,6.9,4853,70.867401,2007-12-14,en
118,6.7,3624,53.905592,2005-07-13,en
2062,7.5,4369,65.677399,2007-06-22,en
272,7.5,7359,115.040024,2005-06-10,en
10527,6.2,1810,44.141021,2008-10-30,en
18360,5.9,1971,81.781591,2009-05-20,en
2080,6.2,4021,5.954334,2009-04-28,en
605,6.4,3096,73.313918,2003-11-05,en
109445,7.3,5295,165.125366,2013-11-27,en
604,6.7,3443,70.78591,2003-05-15,en
76338,6.8,4755,99.499595,2013-10-29,en
76341,7.2,9427,434.278564,2015-05-13,en
13448,6.5,2129,67.447636,2009-05-13,en
10195,6.6,6525,86.493424,2011-04-21,en
13053,6.3,1750,41.845878,2008-11-21,en
19585,5.1,510,26.710398,2009-07-21,en
57165,5.5,1431,44.927635,2012-03-27,en
62213,5.7,2320,50.306728,2012-05-08,en
177677,7.1,3224,114.522237,2015-07-23,en
7978,5.5,549,21.214571,2010-02-11,en
5559,5.7,1171,29.332905,2007-10-28,en
49444,6.7,1880,51.247321,2011-05-25,en
10196,4.7,1151,33.769336,2010-06-30,en
956,6.5,2028,63.079003,2006-05-03,en
117251,6.4,1891,39.004588,2013-06-27,en
50321,5.5,199,12.362599,2011-03-09,en
11619,6.0,874,22.550135,2006-10-22,en
266647,5.9,954,48.03528,2015-09-24,en
82703,6.7,843,38.73494,2014-02-07,en
652,6.9,2759,66.803149,2004-05-13,en
80321,6.4,1808,44.989192,2012-06-06,en
36669,5.8,1092,54.159392,2002-11-17,en
43074,5.3,2142,66.21806,2016-07-14,en
95,6.4,2482,58.485967,1998-07-01,en
608,6.0,3114,91.332849,2002-07-03,en
2310,5.5,841,35.601665,2007-11-05,en
140300,6.7,1603,56.747978,2016-01-23,en
56292,6.8,3972,77.77477,2011-12-07,en
81188,7.1,1922,61.788035,2012-11-21,en
7552,5.9,627,25.159168,2005-12-21,en
616,7.3,1895,52.341226,2003-12-05,en
147441,5.6,1921,101.599427,2014-12-03,en
13475,7.4,4518,73.616808,2009-05-06,en
557,6.8,5265,82.502566,2002-05-01,en
82702,7.6,3106,100.21391,2014-06-12,en
205584,5.3,1277,56.257249,2016-02-25,en
10048,4.9,331,17.88953,2005-07-28,en
13183,7.0,2811,64.798873,2009-03-05,en
944,6.3,767,24.855701,1998-07-10,en
1927,5.3,1533,34.981698,2003-06-19,en
72559,5.4,3025,59.325589,2013-03-26,en
7364,5.7,434,21.605568,2005-04-06,en
2114,5.9,433,26.074908,2001-07-02,en
1771,6.6,7047,74.506246,2011-07-22,en
36643,6.0,862,39.604363,1999-11-08,en
8619,6.9,790,36.973031,2003-11-14,en
50620,6.1,2553,99.687084,2012-11-13,en
65759,5.8,373,17.7735,2011-11-17,en
1724,6.1,3021,62.898336,2008-06-12,en
267935,6.0,1000,44.19092,2016-06-01,en
281957,7.3,6396,100.635882,2015-12-25,en
77950,6.1,1074,44.765377,2013-07-11,en
44896,6.6,2051,29.91353,2011-03-02,en
270946,6.5,1346,84.366984,2014-11-22,en
2503,7.3,2888,45.381501,2007-08-03,en
9502,6.9,3145,84.689648,2008-06-04,en
102899,7.0,5880,120.09361,2015-07-14,en
101299,7.4,6495,76.310119,2013-11-15,en
228161,6.8,1519,63.473086,2015-03-18,en
74,6.2,2322,48.572726,2005-06-28,en
8961,6.3,1564,38.068736,2003-07-18,en
417859,6.4,451,20.678787,2011-10-28,en
27576,6.2,2093,48.829437,2010-07-21,en
86834,5.6,2350,46.115758,2014-03-20,en
17578,6.7,2061,89.938296,2011-10-25,en
673,7.7,5877,79.679601,2004-05-31,en
6972,6.3,694,28.840997,2008-11-18,en
82700,5.0,2532,42.840582,2013-05-30,en
10567,6.2,542,26.548594,2000-05-19,en
181533,6.1,1851,115.597753,2014-12-17,en
38055,6.7,1918,68.757242,2010-10-28,en
671,7.5,7006,109.984351,2001-11-16,en
49524,5.4,1260,39.448066,2013-07-18,en
22,7.5,6985,271.972889,2003-07-09,en
131631,6.6,5584,206.227151,2014-11-18,en
591,6.5,2704,45.313197,2006-05-17,en
172385,6.3,978,42.40024,2014-03-19,en
36658,6.8,3506,2.871739,2003-04-24,en
51497,7.1,2438,7.255718,2011-04-20,en
58574,7.0,3886,81.499621,2011-11-22,en
18823,5.6,2233,47.686442,2010-04-01,en
861,7.1,1710,43.129703,1990-06-01,en
1911,6.4,510,27.220157,1999-08-27,en
49040,6.0,2651,90.33681,2012-08-08,en
415,4.2,1418,50.073575,1997-06-20,en
8871,6.2,1386,45.419668,2000-11-17,en
435,6.2,2392,41.380094,2004-05-26,en
955,5.9,1928,54.931334,2000-05-24,en
2133,6.2,597,25.752118,2000-03-15,en
1979,5.4,2589,60.810723,2007-06-13,en
87827,7.2,5797,51.328145,2012-11-20,en
1250,5.2,1712,46.834704,2007-02-16,en
324668,5.9,2341,62.641286,2016-07-27,en
9471,5.2,914,33.616115,2003-06-27,en
70981,6.3,5080,68.889395,2012-05-30,en
10996,5.4,613,27.990284,2002-07-19,en
68724,6.4,3439,67.33767,2013-08-07,en
2789,6.3,1570,27.835436,2004-06-11,en
97020,5.7,2342,66.757869,2014-01-30,en
7459,5.7,354,17.060695,2008-05-09,en
42888,4.9,223,11.137655,2010-12-17,en
37834,5.9,1547,44.906918,2010-06-15,en
75612,6.4,4800,67.698004,2013-04-10,en
1895,7.1,4116,44.108427,2005-05-17,en
1894,6.4,3992,43.987061,2002-05-15,en
585,7.5,5996,106.815545,2001-11-01,en
76170,6.3,4053,15.953444,2013-07-23,en
1893,6.3,4432,54.035265,1999-05-19,en
49519,6.8,2399,64.183321,2013-03-20,en
2395,5.0,471,20.344364,2008-01-13,fr
12100,5.8,341,18.714197,2002-06-14,en
290595,6.0,1523,60.467984,2016-04-06,en
98566,5.8,2636,143.350376,2014-08-07,en
49047,7.3,5751,110.153618,2013-09-27,en
9619,5.7,428,16.90444,1997-02-07,en
308531,5.8,963,39.873791,2016-06-01,en
166424,4.4,2278,38.126095,2015-08-05,en
1593,6.3,2862,48.780039,2006-10-20,en
254128,6.0,2968,100.412364,2015-05-27,en
714,6.0,925,42.887121,1997-12-11,en
2024,6.8,1099,23.657284,2000-06-28,en
163,6.4,2124,76.840712,2004-12-09,en
787,6.5,2965,44.635452,2005-06-07,en
262500,6.2,3829,103.718387,2015-03-18,en
2567,7.0,1489,45.616098,2004-12-17,en
38745,4.9,621,22.845143,2010-12-25,en
40805,5.5,1251,31.703608,2011-01-12,en
53182,6.1,2397,71.510596,2014-03-05,en
41513,5.5,1179,36.65422,2011-07-29,en
13700,5.7,389,19.625972,2004-04-02,en
262504,5.9,1998,86.105615,2016-03-09,en
39254,6.6,2692,37.195046,2011-09-28,en
77931,5.5,695,32.473628,2013-07-30,en
1639,4.1,434,23.336875,1997-06-13,en
80274,6.6,2303,45.94834,2013-10-23,en
1571,6.4,2089,48.93337,2007-06-20,en
120,8.0,8705,138.049577,2001-12-18,en
10204,5.7,672,22.643776,2004-06-16,en
8489,6.7,447,18.866672,2001-12-11,en
10588,4.9,366,18.251129,2003-11-21,en
2048,6.7,3793,95.914473,2004-07-15,en
1495,6.6,1157,44.490453,2005-05-03,en
10137,5.8,959,30.475297,1999-12-17,en
10198,6.7,1247,62.479574,2009-12-08,en
286217,7.6,7268,167.93287,2015-09-30,en
1635,6.5,1770,37.68056,2005-07-20,en
24113,3.7,16,1.004579,2001-04-27,en
9679,6.1,1485,52.995628,2000-06-09,en
98,7.9,5439,95.301296,2000-05-01,en
180,7.1,2608,65.948959,2002-06-20,en
672,7.4,5815,132.397737,2002-11-13,en
36557,7.3,3855,88.935165,2006-11-14,en
869,5.6,1243,51.188633,2001-07-25,en
280,7.7,4185,101.74155,1991-07-01,en
11322,6.5,1344,33.691694,2009-07-01,en
4982,7.4,1502,42.361215,2007-11-02,en
36955,6.8,1116,38.729418,1994-07-14,en
18487,6.2,954,40.597856,2009-06-11,en
39451,5.4,1060,32.389353,2010-12-21,en
27581,6.1,1383,24.399642,2010-08-06,en
9268,5.6,543,24.507987,1996-06-21,en
68718,7.8,10099,82.121691,2012-12-25,en
10545,6.8,1129,46.727941,1996-06-21,en
11688,7.2,1490,51.113717,2000-12-09,en
76163,6.1,2896,53.732892,2012-08-08,en
2059,6.4,1926,58.849256,2004-11-19,en
2486,4.9,967,30.863434,2006-12-14,en
16523,6.4,572,31.586215,2009-10-16,en
116711,6.4,1121,36.711378,2013-05-15,en
37710,6.0,1699,41.426678,2010-12-08,en
9946,5.5,482,20.652943,1999-11-24,en
1372,7.3,2281,52.792678,2006-12-07,en
106646,7.9,6571,95.007934,2013-12-25,en
414,5.2,1498,48.205606,1995-05-31,en
563,6.7,1560,58.782359,1997-11-06,en
83542,6.6,2977,73.872343,2012-10-26,en
41216,6.5,703,37.321848,2010-07-10,en
314,4.2,808,32.271938,2004-07-22,en
184315,5.6,1680,76.842247,2014-07-23,en
9016,7.2,948,38.924136,2002-11-26,en
18162,5.3,381,19.38841,2009-06-05,en
138103,6.1,1795,61.025639,2014-08-04,en
257088,5.5,783,33.507289,2015-12-03,en
10214,3.6,338,17.815595,2005-02-18,en
205775,6.5,1276,50.767332,2015-11-20,en
11692,4.4,142,12.092241,2002-08-15,en
22972,6.4,717,30.254021,2010-03-11,en
227973,6.5,604,34.308098,2015-11-05,en
29193,7.1,73,3.091077,1997-09-08,en
1734,6.0,2206,41.862983,2001-04-28,en
3131,7.1,1910,46.160048,2002-12-14,en
76758,7.1,187,12.516546,2011-12-15,zh
9408,5.9,601,23.230851,2007-06-08,en
9890,5.4,334,19.224754,2004-06-10,en
855,7.2,1811,44.455166,2001-12-28,en
77953,5.6,578,16.460356,2012-08-09,en
18,7.3,3885,109.528572,1997-05-07,en
37786,5.4,426,18.325897,2010-05-26,en
10501,7.0,858,37.054554,2000-03-31,en
57800,6.2,2672,65.229868,2012-06-26,en
150689,6.7,2374,101.187052,2015-03-12,en
7980,6.6,1065,29.257137,2009-12-26,en
12,7.6,6122,85.688789,2003-05-30,en
122,8.1,8064,123.630332,2003-12-01,en
121,8.0,7487,106.914973,2002-12-18,en
68737,5.2,957,63.628459,2014-12-12,en
1995,5.7,2192,41.498631,2001-06-11,en
157353,5.9,2295,58.991388,2014-04-16,en
331,5.7,2077,1.859364,2001-07-18,en
61791,7.0,4347,138.433168,2011-08-03,en
8204,6.3,572,21.436682,2008-02-14,en
47964,5.2,3493,65.402595,2013-02-06,en
10733,5.8,106,10.660441,2004-04-07,en
9806,7.4,5152,77.817571,2004-11-05,en
1408,5.7,136,7.029308,1995-12-22,en
32657,6.0,2010,61.121717,2010-02-01,en
607,6.9,4412,104.121555,1997-07-02,en
863,7.3,3806,73.575118,1999-10-30,en
44048,6.3,1165,37.698465,2010-11-04,en
5175,6.4,1054,35.814765,2001-08-03,en
2655,6.3,488,15.835672,2000-07-21,en
22794,6.5,1747,46.781182,2009-09-17,en
8355,6.5,2271,69.457898,2009-06-29,en
116745,7.0,3144,43.348022,2013-12-18,en
4327,5.6,1232,40.20395,2000-11-02,en
1422,7.9,4339,63.429157,2006-10-05,en
10674,7.6,2008,67.427755,1998-06-18,en
7446,6.5,1667,43.192048,2008-08-09,en
65754,7.2,2434,47.651083,2011-12-14,en
1572,6.9,2066,51.881077,1995-05-19,en
10528,7.0,5766,57.834787,2009-12-23,en
271969,5.3,621,29.608322,2016-08-17,en
10865,6.7,1224,51.548589,2001-06-02,en
258509,5.8,428,27.867368,2015-12-17,en
2253,6.7,1173,38.832842,2008-12-25,en
10661,5.5,1048,40.597344,2008-06-05,en
257344,5.6,2513,140.849495,2015-07-16,en
644,6.8,1974,34.035114,2001-06-29,en
10756,5.2,466,16.302378,2003-11-25,en
686,7.2,1308,55.249434,1997-07-11,en
9383,5.6,634,28.200874,2000-08-04,en
179,6.2,392,18.69984,2005-04-08,en
76285,5.9,1648,40.262261,2013-08-07,en
1996,5.5,1418,56.811056,2003-07-21,en
291805,6.7,3235,51.535701,2016-06-02,en
10003,5.9,302,20.913852,1997-04-03,en
1535,6.8,579,27.166757,2001-11-18,en
2067,5.7,369,16.058284,2000-03-10,en
46195,6.5,2166,46.200042,2011-04-03,en
2277,6.9,963,24.939295,1999-12-17,en
10357,5.2,376,19.836124,1997-04-25,en
4477,5.9,290,15.350451,1997-03-12,en
8665,6.1,264,15.625949,2002-07-19,en
9387,6.6,650,31.802807,1982-04-02,en
921,7.3,616,24.100863,2005-06-02,en
49852,5.4,50,3.593349,2010-11-24,en
4464,6.7,216,14.824166,2003-07-22,en
664,6.1,950,32.079995,1996-05-10,en
8358,7.5,3218,57.739713,2000-12-22,en
9836,5.9,1410,37.272385,2006-11-16,en
2502,7.2,2825,53.213931,2004-07-23,en
9772,6.2,840,36.38795,1997-07-25,en
161,7.2,3783,60.929352,2001-12-07,en
52451,5.6,924,36.605246,2011-08-31,en
76492,6.8,2566,56.257411,2012-09-20,en
4523,6.6,1449,29.21998,2007-11-20,en
59961,6.3,1345,34.773106,2012-02-09,en
10481,5.1,313,9.895061,2000-10-07,en
59108,5.8,932,36.743324,2011-11-02,en
1581,6.7,1225,44.967453,2006-12-08,en
9798,6.7,1240,41.207568,1998-11-20,en
22897,6.2,360,16.479851,2009-12-23,en
298,6.5,1999,42.069993,2007-06-07,en
7484,6.1,656,26.61951,2006-09-29,en
157350,6.9,4663,80.316463,2014-03-14,en
853,7.2,999,41.273567,2001-03-13,en
10159,6.4,514,24.107835,2003-09-26,en
9593,6.1,712,32.044191,1993-06-18,en
1904,7.3,652,16.595874,2005-12-06,en
9615,6.1,1705,8.282876,2006-06-03,en
51052,6.7,333,19.83683,2011-02-22,en
297,6.9,1147,36.069611,1998-11-12,en
9884,5.5,427,18.827753,2002-02-06,en
16858,7.3,85,5.159407,1979-12-20,en
62764,5.5,1114,48.126297,2012-03-15,en
22538,7.2,2126,38.885195,2010-07-27,en
9341,5.4,516,29.211255,2003-03-28,en
12107,4.7,332,17.783361,2000-07-27,en
9637,5.4,820,31.435539,2002-06-14,en
49049,6.6,1940,57.673932,2012-09-07,en
9339,6.0,2104,41.176631,2006-06-22,en
16281,6.7,226,13.661289,1982-11-12,en
39691,4.9,119,11.77398,2010-07-30,en
8247,5.9,1799,21.218,2008-02-10,en
11253,6.5,1527,58.57976,2008-07-11,en
1949,7.3,2023,51.970905,2007-03-02,en
8452,5.7,595,18.447479,2000-11-17,en
310,6.4,3012,109.684788,2003-05-23,en
27578,6.0,2926,77.580661,2010-08-03,en
954,6.7,2631,75.290998,1996-05-22,en
70160,6.9,9455,68.550698,2012-03-12,en
45243,6.2,3739,58.040149,2011-05-25,en
364,6.6,1673,59.113174,1992-06-19,en
7518,6.3,1074,36.32705,2006-04-22,en
11544,7.1,1314,55.659988,2002-06-21,en
9986,5.8,288,14.132583,2006-12-15,en
8656,5.9,855,34.070054,1998-05-08,en
146216,6.4,1526,44.34333,2013-07-18,en
9291,6.2,785,26.065735,2005-05-19,en
